"","nmajor","major1","major2","BBRJ","Business Direct Admit","Combined Bacc and Masters","Dean's List","First Generation College Stdnt","FSB Scholars","Honors Program","President's List","Study Abroad Courtesy Account","Transfer Work (Pre-Banner)","Cum Laude","Magna Cum Laude","Summa Cum Laude","University Honors","UniversityHonors w/Distinction","minor1","minor2","IPEDS.Race.Ethnicity","Gender","GPA.Range","Term.Code","year.x","latin_honors","survey_city","survey_company","survey_deptfunc","survey_gradprogram","survey_gradschool","survey_offers","survey_plans","survey_pref_field","survey_pref_loc","survey_salary","survey_state","has_internship","has_multiple_internships"
"1",1,"Marketing","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","Hispanic/Latino","Male","2.00 - 2.49",202015,"2020","0","None","None","None","None","None",0,"seeking continuing education","None","None",0,"None",0,0
"2",1,"Finance","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Business Legal Studies","No Minor","White","Male","3.00 - 3.49",201920,"2019","0","Toledo","BAM Nutual","Finance","None","None",0,"accepted fulltime job","Yes","Yes",0,"Ohio",0,0
"3",1,"Marketing","none",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,"Humanities","Humanities","Asian","Female","3.50 - 4.00",202120,"2021","0","Columbus","CoHatch","General Management","None","None",1,"accepted fulltime job","Yes","Yes",40000,"OH",1,1
"4",1,"Finance","none",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Accountancy","Accountancy","White","Male","3.00 - 3.49",202020,"2020","0","None","PwC","None","None","None",0,"accepted fulltime job","None","None",0,"None",1,1
"5",1,"Marketing","none",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Supply Chain Management","Supply Chain Management","White","Male","3.00 - 3.49",201920,"2019","0","Columbus","Abercrombie & Fitch","General Management","None","None",1,"accepted fulltime job","Yes","Yes",63500,"Ohio",1,1
"6",1,"Marketing","none",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"Humanities","Humanities","White","Female","3.00 - 3.49",202020,"2020","0","Cleveland","McDonald's","Consulting Marketing / Sales Operations / Procurement","None","None",4,"accepted fulltime job","Yes","Yes",68000,"OH",1,1
"7",1,"Finance","none",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"Economics","No Minor","White","Female","3.50 - 4.00",201920,"2019","Cum Laude","Chicago","Ernst & Young","Analytics
 Consulting","None","None",1,"accepted fulltime job","Yes","Yes",58000,"Ohio / USA",1,1
"8",1,"Marketing","none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",201910,"2019","0","None","None","None","None","None",0,"None","None","None",0,"None",0,0
"9",1,"Accountancy","none",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"No Minor","No Minor","White","Male","3.50 - 4.00",202120,"2021","Cum Laude","Cleveland","EY","Accounting","None","None",1,"accepted fulltime job","Yes","Yes",53000,"OH",1,1
"10",2,"Finance","Marketing",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",202020,"2020","0","None","None","None","None","None",0,"None","None","None",0,"None",1,1
